CONFLICT_ID,COUNTRY_ABBR,COUNTRY_CD,START_DAY,START_MON,START_YR,END_DAY,END_MON,END_YR,FATALITY_CAT,FATALITY_PRECISE,ACTION_LEVEL,WAR_LVL,AGGRESSOR
1232,DRV,816,30,6,1980,30,6,1987,3,-9,17,4,0
2053,USR,365,1,3,1980,14,4,1982,-9,-9,7,3,0
2071,ETH,530,24,2,1980,13,6,1981,2,-9,17,4,1
2071,SOM,520,24,2,1980,13,6,1981,3,-9,17,4,1
2083,ARG,160,7,9,1980,9,2,1981,0,0,15,4,1
2083,CHL,155,7,9,1980,9,2,1981,0,0,15,4,1
2115,IRN,630,27,8,1980,20,8,1988,6,-9,20,5,1
2115,IRQ,645,27,8,1980,20,8,1988,6,-9,20,5,1
2152,SAU,670,3,2,1980,15,2,1980,0,0,17,4,1
2152,YAR,678,3,2,1980,15,2,1980,1,-9,17,4,1
2226,USR,365,13,3,1980,19,3,1980,0,0,0,1,1
2226,USA,2,13,3,1980,19,3,1980,0,0,7,3,1
2226,UKG,200,13,3,1980,19,3,1980,0,0,7,3,1
2226,NTH,210,13,3,1980,19,3,1980,0,0,7,3,1
2226,NOR,385,13,3,1980,19,3,1980,0,0,7,3,1
2226,ITA,325,13,3,1980,19,3,1980,0,0,7,3,1
2226,GFR,260,13,3,1980,19,3,1980,0,0,7,3,1
2226,CAN,20,13,3,1980,19,3,1980,0,0,7,3,1
2227,USR,365,4,5,1980,4,5,1980,0,0,0,1,1
2227,USA,2,4,5,1980,4,5,1980,0,0,1,2,1
2717,CHN,710,5,10,1980,29,10,1980,1,-9,17,4,1
2717,USR,365,5,10,1980,29,10,1980,1,-9,17,4,1
2969,CUB,40,13,7,1980,13,7,1980,0,0,0,1,1
2969,MOR,600,13,7,1980,13,7,1980,0,0,16,4,1
3016,LIB,620,27,1,1980,30,1,1980,0,0,0,1,1
3016,TUN,616,27,1,1980,30,1,1980,0,0,1,2,1
3016,FRN,220,27,1,1980,30,1,1980,0,0,7,3,1
3017,IRN,630,19,1,1980,4,3,1980,0,0,7,3,1
3017,USR,365,19,1,1980,4,3,1980,0,0,7,3,1
3017,AFG,700,19,1,1980,4,3,1980,0,0,7,3,1
3105,USA,2,25,10,1980,20,1,1981,0,0,0,1,1
3105,ECU,130,25,10,1980,20,1,1981,0,0,15,4,1
3107,JOR,663,26,11,1980,8,1,1981,0,0,7,3,1
3107,SYR,652,26,11,1980,8,1,1981,0,0,7,3,1
3107,ISR,666,9,12,1980,8,1,1981,0,0,7,3,0
3108,KUW,690,13,11,1980,16,11,1980,0,0,0,1,1
3108,IRN,630,13,11,1980,16,11,1980,0,0,16,4,1
3109,BNG,771,23,11,1980,23,11,1980,0,0,0,1,1
3109,IND,750,23,11,1980,23,11,1980,0,0,16,4,1
3111,THI,800,20,11,1980,20,11,1980,0,0,0,1,1
3111,MYA,775,20,11,1980,20,11,1980,0,0,16,4,1
3112,ZAM,551,11,8,1980,11,2,1981,0,0,0,1,1
3112,ZAI,490,11,8,1980,11,2,1981,0,0,14,4,1
3113,ALG,615,15,7,1980,15,7,1980,0,0,0,1,1
3113,MOR,600,15,7,1980,15,7,1980,0,0,7,3,1
3114,THI,800,15,6,1980,15,6,1980,0,0,0,1,1
3114,LAO,812,15,6,1980,15,6,1980,0,0,16,4,1
3115,OMA,698,19,5,1980,19,5,1980,0,0,0,1,1
3115,YPR,680,19,5,1980,19,5,1980,0,0,7,3,1
3116,USR,365,6,5,1980,6,5,1980,0,0,0,1,1
3116,YUG,345,6,5,1980,6,5,1980,0,0,1,2,1
3117,PHI,840,2,6,1980,2,11,1980,0,0,0,1,1
3117,MAL,820,2,6,1980,2,11,1980,0,0,7,3,1
3118,EGY,651,14,3,1980,8,12,1980,0,0,7,3,1
3118,LIB,620,14,3,1980,8,12,1980,0,0,11,3,1
3119,MAA,435,29,2,1980,29,7,1980,0,0,0,1,1
3119,MOR,600,29,2,1980,29,7,1980,0,0,16,4,1
3120,NIC,93,7,2,1980,7,2,1980,0,0,0,1,1
3120,COL,100,7,2,1980,7,2,1980,0,0,7,3,1
3121,CON,484,4,2,1980,4,2,1980,0,0,0,1,1
3121,ZAI,490,4,2,1980,4,2,1980,0,0,7,3,1
3448,ISR,666,24,8,1980,25,7,1981,1,-9,17,4,1
3448,LEB,660,24,8,1980,25,7,1981,1,-9,17,4,1
3448,SYR,652,24,8,1980,25,7,1981,1,-9,17,4,1
3609,SPN,230,18,4,1980,17,6,1980,0,0,0,1,1
3609,MOR,600,18,4,1980,17,6,1980,0,0,15,4,1
3610,INS,850,23,9,1980,23,9,1980,0,0,7,3,1
3610,DRV,816,23,9,1980,23,9,1980,0,0,7,3,1
3632,LIB,620,3,12,1980,3,12,1980,0,0,0,1,1
3632,TUN,616,3,12,1980,3,12,1980,0,0,8,3,1
3633,FRN,220,13,12,1980,15,11,1981,0,0,7,3,1
3633,LIB,620,13,12,1980,15,11,1981,0,0,7,3,1
2084,ARG,160,25,4,1981,29,4,1981,0,0,7,3,1
2084,CHL,155,25,4,1981,29,4,1981,0,0,15,4,1
2085,ARG,160,21,9,1981,23,2,1982,0,0,15,4,1
2085,CHL,155,21,9,1981,23,2,1982,0,0,16,4,1
2119,ECU,130,23,1,1981,6,3,1981,2,-9,17,4,1
2119,PER,135,23,1,1981,6,3,1981,2,-9,17,4,1
2175,GRC,350,21,3,1981,28,3,1982,0,0,7,3,1
2175,TUR,640,21,3,1981,28,3,1982,0,0,7,3,1
2194,ROK,732,7,7,1981,13,7,1982,0,0,17,4,1
2194,PRK,731,7,7,1981,13,7,1982,0,0,17,4,1
2228,USR,365,12,5,1981,14,5,1981,0,0,0,1,1
2228,USA,2,12,5,1981,14,5,1981,0,0,15,4,1
2237,VEN,101,24,7,1981,5,9,1982,0,0,7,3,1
2237,GUY,110,24,7,1981,5,9,1982,0,0,10,3,1
2347,HON,91,30,4,1981,6,6,1985,0,0,7,3,1
2347,NIC,93,30,4,1981,6,6,1985,0,0,12,3,1
2639,PAK,770,7,7,1981,3,11,1981,1,-9,17,4,1
2639,IND,750,7,7,1981,3,11,1981,1,-9,17,4,1
2970,DEN,390,31,8,1981,31,8,1981,0,0,0,1,1
2970,NOR,385,31,8,1981,31,8,1981,0,0,16,4,1
2971,PRK,731,14,8,1981,14,8,1981,0,0,0,1,1
2971,USA,2,14,8,1981,14,8,1981,0,0,12,3,1
2972,USA,2,17,7,1981,30,7,1981,0,0,7,3,1
2972,CUB,40,17,7,1981,30,7,1981,0,0,7,3,1
3092,SAU,670,9,11,1981,9,11,1981,0,0,7,3,1
3092,ISR,666,9,11,1981,9,11,1981,0,0,12,3,1
3093,USR,365,22,10,1981,6,11,1981,0,0,7,3,1
3093,SWD,380,22,10,1981,6,11,1981,1,-9,7,3,1
3094,MAA,435,19,10,1981,19,10,1981,0,0,0,1,1
3094,MOR,600,19,10,1981,19,10,1981,0,0,12,3,1
3095,KUW,690,1,10,1981,1,10,1981,0,0,0,1,1
3095,IRN,630,1,10,1981,1,10,1981,0,0,16,4,1
3096,IND,750,24,9,1981,24,9,1981,1,-9,17,4,1
3096,BNG,771,24,9,1981,24,9,1981,1,-9,17,4,1
3097,IRN,630,21,9,1981,21,9,1981,1,-9,17,4,1
3097,TUR,640,21,9,1981,21,9,1981,1,-9,17,4,1
3098,SOM,520,9,11,1981,6,12,1981,-9,-9,7,3,0
3098,LIB,620,10,9,1981,6,12,1981,-9,-9,7,3,1
3098,SUD,625,10,9,1981,6,12,1981,-9,-9,16,4,1
3098,OMA,698,9,11,1981,6,12,1981,0,0,7,3,0
3098,USA,2,9,11,1981,6,12,1981,0,0,7,3,0
3098,EGY,651,9,11,1981,6,12,1981,0,0,7,3,0
3099,EGY,651,20,8,1981,21,8,1981,0,0,7,3,0
3099,USA,2,18,8,1981,21,8,1981,0,0,16,4,1
